sha256,tamano_bytes,n_copias,principal,ruta,copiado_al_material_piloto
cd369c37e8566929010515f1a3eeb0c5d903b0e25b586b02d214ddc04c5dd3e1,560,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos/piloto_identificacion.csv,02_datos_procesados/datos/piloto_identificacion.csv
cd369c37e8566929010515f1a3eeb0c5d903b0e25b586b02d214ddc04c5dd3e1,560,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos/piloto_identificacion.csv,NO_COPIADO
34ee24e29d7890250657dd8abc3957106d11f0c3cda2d81887b5e4900a413493,695,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos/piloto_metricas_linguisticas.csv,02_datos_procesados/datos/piloto_metricas_linguisticas.csv
34ee24e29d7890250657dd8abc3957106d11f0c3cda2d81887b5e4900a413493,695,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos/piloto_metricas_linguisticas.csv,NO_COPIADO
217154ae1c5c32dc1a8a420344bfd797a1d9d28d4f7255a9067459cb4ba1dc82,3982,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos/README_DATOS_PILOTO.txt,02_datos_procesados/datos/README_DATOS_PILOTO.txt
217154ae1c5c32dc1a8a420344bfd797a1d9d28d4f7255a9067459cb4ba1dc82,3982,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos/README_DATOS_PILOTO.txt,NO_COPIADO
e6f6a4cb81ec9b5432df6f47fcdf3a228ec4b07ea04372a11a639c9e8fa14915,40191,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_completo.csv,02_datos_procesados/datos_piloto_extra/ancho_piloto_completo.csv
e6f6a4cb81ec9b5432df6f47fcdf3a228ec4b07ea04372a11a639c9e8fa14915,40191,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/ancho_piloto_completo.csv,NO_COPIADO
57cd439e8e951d7efb87b8c8066b533ccf3e5388667fe5bf8853a8cc17613540,9024,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_completo.rds,02_datos_procesados/datos_piloto_extra/ancho_piloto_completo.rds
57cd439e8e951d7efb87b8c8066b533ccf3e5388667fe5bf8853a8cc17613540,9024,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/ancho_piloto_completo.rds,NO_COPIADO
1ce43dd85d2b67110d2a6239ffd2ac3922f1e031254e7f4af8ce4454f712fe23,1342,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_prototipos.csv,02_datos_procesados/datos_piloto_extra/ancho_piloto_prototipos.csv
1ce43dd85d2b67110d2a6239ffd2ac3922f1e031254e7f4af8ce4454f712fe23,1342,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/ancho_piloto_prototipos.csv,NO_COPIADO
0e63329dbca5daf070d017238db56ec499992b3e205db5b2eca1fd0f1fd21467,486,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_prototipos.rds,02_datos_procesados/datos_piloto_extra/ancho_piloto_prototipos.rds
0e63329dbca5daf070d017238db56ec499992b3e205db5b2eca1fd0f1fd21467,486,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/ancho_piloto_prototipos.rds,NO_COPIADO
8fcfe3181a083d286b6f54d4ea890726bc64a93e4a366502fe134c0622f9edc5,218,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_semantica.csv,02_datos_procesados/datos_piloto_extra/ancho_piloto_semantica.csv
8fcfe3181a083d286b6f54d4ea890726bc64a93e4a366502fe134c0622f9edc5,218,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/ancho_piloto_semantica.csv,NO_COPIADO
5ac3ae1620d3a8f9ceb570474347cb33c5816dd36356cab9eed3aedbd0e5cb0a,215,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos_piloto_extra/ancho_piloto_semantica.rds,02_datos_procesados/datos_piloto_extra/ancho_piloto_semantica.rds
5ac3ae1620d3a8f9ceb570474347cb33c5816dd36356cab9eed3aedbd0e5cb0a,215,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/ancho_piloto_semantica.rds,NO_COPIADO
7ffae46881c98b5877e7e1e7d7b4678da96513ae0c0cfeb289c0dd7ac01985ac,890,2,PRINCIPAL,Analisis agosto/analisis_piloto/datos_piloto_extra/README_objetos_piloto.txt,02_datos_procesados/datos_piloto_extra/README_objetos_piloto.txt
7ffae46881c98b5877e7e1e7d7b4678da96513ae0c0cfeb289c0dd7ac01985ac,890,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/README_objetos_piloto.txt,NO_COPIADO
ca0dbee142f04bb4f6ad5e1e1fe7d11698171e3740735e1d174fcbcc8a2763b1,2110,2,PRINCIPAL,Analisis agosto/analisis_piloto/diagnosticos/piloto_n_palabras_calculado_diagnosticos.csv,03_resultados/diagnosticos/piloto_n_palabras_calculado_diagnosticos.csv
ca0dbee142f04bb4f6ad5e1e1fe7d11698171e3740735e1d174fcbcc8a2763b1,2110,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/diagnosticos/piloto_n_palabras_calculado_diagnosticos.csv,NO_COPIADO
08806d20094fa85c33ddcef05c81f314db087f6d2a7db5073de9180b36370a35,71393,2,PRINCIPAL,Analisis agosto/analisis_piloto/diagnosticos/piloto_n_palabras_calculado_performance.txt,03_resultados/diagnosticos/piloto_n_palabras_calculado_performance.txt
08806d20094fa85c33ddcef05c81f314db087f6d2a7db5073de9180b36370a35,71393,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/diagnosticos/piloto_n_palabras_calculado_performance.txt,NO_COPIADO
0bf2ecd59c1a0cee67d8b0f4906bd3d22a4b169c5fc3030e60a33bce86039b2a,33986,2,PRINCIPAL,Analisis agosto/analisis_piloto/figures_en/COMPARISON_n_palabras_calculado_EN.pdf,03_resultados/figuras_comparativas/COMPARISON_n_palabras_calculado_EN.pdf
0bf2ecd59c1a0cee67d8b0f4906bd3d22a4b169c5fc3030e60a33bce86039b2a,33986,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/figures_en/COMPARISON_n_palabras_calculado_EN.pdf,NO_COPIADO
0fa2ac9ffc1aa6a3ac4e03943c027d608ba1e72543622eaa6e2e8560ec5fd33b,340464,2,PRINCIPAL,Analisis agosto/analisis_piloto/figures_en/COMPARISON_n_palabras_calculado_EN.png,03_resultados/figuras_comparativas/COMPARISON_n_palabras_calculado_EN.png
0fa2ac9ffc1aa6a3ac4e03943c027d608ba1e72543622eaa6e2e8560ec5fd33b,340464,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/figures_en/COMPARISON_n_palabras_calculado_EN.png,NO_COPIADO
29b7b7ea12664b21d4eb6b86bd8ccb42bc6d40f5b8ba5b27dda0bf585905bce3,29204,2,PRINCIPAL,Analisis agosto/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_distribucion.pdf,03_resultados/figuras_piloto/PILOT_n_palabras_calculado_EN_distribucion.pdf
29b7b7ea12664b21d4eb6b86bd8ccb42bc6d40f5b8ba5b27dda0bf585905bce3,29204,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_distribucion.pdf,NO_COPIADO
c1811aa383d13ab0b0a485b45b29642551a6ce2eda46e2d1910827f736bb5408,187106,2,PRINCIPAL,Analisis agosto/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_distribucion.png,03_resultados/figuras_piloto/PILOT_n_palabras_calculado_EN_distribucion.png
c1811aa383d13ab0b0a485b45b29642551a6ce2eda46e2d1910827f736bb5408,187106,2,COPIA,Analisis agosto/para_articulos/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_distribucion.png,NO_COPIADO
9e34af7321f84855085fd7d2b87e6e7009c282274d1f7823899125f90a349740,29938,2,PRINCIPAL,Analisis agosto/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_individuales.pdf,03_resultados/figuras_piloto/PILOT_n_palabras_calculado_EN_individuales.pdf
