"variable","scale"
"dim_86",0.0260195312999597
"dim_87",0.0275299688047662
"dim_88",0.0380977137714978
"dim_89",0.039396037138054
"dim_90",0.0342535682231488
"dim_91",0.0426383955422128
"dim_92",0.0543002255659601
"dim_93",0.034338403631213
"dim_94",0.0259643963163103
"dim_95",0.035126095757296
"dim_96",0.0386138866853993
"dim_97",0.0319939675069946
"dim_98",0.0333244418235955
"dim_99",0.0393221902511607
"dim_100",0.0386636672267508
"dim_101",0.0349793440338321
"dim_102",0.0328107202582894
"dim_103",0.0397865587896193
"dim_104",0.0362517517417277
"dim_105",0.0278481487114304
"dim_106",0.032460533878064
"dim_107",0.0410497085512288
"dim_108",0.0349415467324092
"dim_109",0.038093230022142
"dim_110",0.0293037703053209
"dim_111",0.0346529604269109
"dim_112",0.0280244062468468
"dim_113",0.0365337546964575
"dim_114",0.0258292802446653
"dim_115",0.029726897631794
"dim_116",0.0327318758416002
"dim_117",0.0295145510184696
"dim_118",0.0344840671351605
"dim_119",0.0512392428308368
"dim_120",0.0472582121979567
"dim_121",0.0313885120993068
"dim_122",0.0293664068896034
"dim_123",0.0272446407156377
"dim_124",0.0279979269988041
"dim_125",0.035704497250323
"dim_126",0.0361622816849375
"dim_127",0.0297958762792736
"dim_128",0.0348953224064374
"dim_129",0.0326790372924897
"dim_130",0.0282615392298243
"dim_131",0.0331358277534898
"dim_132",0.0314113646021524
"dim_133",0.0353738275685808
"dim_134",0.0307521197552734
"dim_135",0.0311806103407185
"dim_136",0.0356191287071203
"dim_137",0.0416757417804861
"dim_138",0.0376220684908435
"dim_139",0.0335758047983517
"dim_140",0.0488388382561612
"dim_141",0.0458815683683301
"dim_142",0.0383622909688284
"dim_143",0.051031709323241
"dim_144",0.0400664024585729
"dim_145",0.0406609862408287
"dim_146",0.0308253554506146
"dim_147",0.03823609306794
"dim_148",0.0370549914651865
"dim_149",0.0356761189289078
"dim_150",0.0427938165625448
"dim_151",0.026571619386529
"dim_152",0.0281033553757261
