dimension,center
126,-0.0784569334878903
127,0.00227136184582
128,0.0067379346140359
129,0.0203127083893481
130,0.033531403693074
131,-0.0073073775325865
132,0.0287822152349243
133,0.0662514429455906
134,-0.0176986010005523
135,-0.0057772812757588
136,0.0203014712443096
137,0.0273863199007688
138,0.0265663490578327
139,0.0456591538764634
140,-0.0047646109962477
141,0.0084718442912294
142,0.0547800663527848
143,0.0078416451234833
144,0.0492268847985412
145,-0.0339174791453649
146,-0.005897935259545
147,-0.001097618318328
148,0.0321128470637681
149,-0.0184051068880351
150,0.0012397803641997
151,0.0190058131345029
152,-0.0260185540030403
153,-0.0001785019745397
154,-0.0078507582953037
155,0.0011731719768504
156,-0.0051057125715479
157,-0.0211171204948198
158,0.0088020273153394
159,-0.0738343654653507
160,0.0346972093249931
161,0.0190284080952135
162,0.0407185897894585
163,-0.0372210774316091
164,-0.0079341998901495
165,-0.0097414172480279
166,0.0291543717976461
167,-0.0527176361114175
168,-0.0213983940397426
169,-0.0250292742373529
170,-0.0201980201398682
171,0.0268430031271217
172,-0.0110643118554319
173,0.0023838741697891
174,0.0092796572803934
175,0.0182081620994097
176,-0.0148383915449465
177,-0.0850038369307108
178,0.0733549705392346
179,-0.0374601254475276
180,-0.021686544123496
181,0.006204849608488
182,0.0032917597795084
183,-0.0756734811175861
184,0.0149442015433038
185,-0.0213422974067848
186,0.0039338051943166
187,0.0141336014321138
188,-0.0201903566193402
189,0.030832773644252
190,-0.0529271712060895
191,-0.0257381256760838
192,-0.0220831826573328
193,0.0419648939217887
194,0.0147558432501396
195,-0.039326263550133
196,-0.0049769850367692
197,0.0437827025460138
198,0.0202688992095051
199,0.003383265293992
200,0.0475961702607417
201,-0.0924296736170677
202,0.0010065598623915
203,0.0411774005160763
204,-0.0068167344451006
205,0.0158004048550588
206,-0.0321399554078247
207,0.0178472310241744
208,-0.0143739224448921
209,0.0615601773343233
210,0.0005539372925402
211,0.0030874598546046
212,0.0489020278503786
213,-0.0124882096402996
214,-0.0110703129862952
215,0.0159953837157868
216,0.0283835942238701
217,-0.0753631897968671
218,0.0894995005835446
219,0.0118556861887399
220,0.0306724078561442
221,0.0418962346634067
222,-0.110582137844981
223,-0.0204611037387719
224,-0.0559960026631493
225,-0.0041922500859028
226,-0.036865469725549
227,-0.0004336856258112
228,-0.0351492814675863
229,-0.005495540417961
230,-0.0157669623561632
231,-0.011787713630852
232,-0.0034419720470656
233,-0.0303552262276731
234,0.0528601747497779
