dimension,scale
368,0.0315809702398867
369,0.028956812910685
370,0.0366929678679807
371,0.0264137264385401
372,0.0294351029536658
373,0.0327133086369005
374,0.0329140327101871
375,0.0352750159382422
376,0.0421750907675303
377,0.0336940137778632
378,0.0489089176589673
379,0.0334035851010038
380,0.026345916581827
381,0.0375087038213629
382,0.0385413929126456
383,0.0329886685762968
384,0.0302523373042228
